Ward,Alder
1,Daniel La Spata
2,Brian Hopkins
3,Pat Dowell
4,Lamont Robinson
5,Desmon Yancy
6,William Hall
7,Gregory Mitchell
8,Michelle Harris
9,Anthony Beale
10,Peter Chico
11,Nicole Lee
12,Julia Ramirez
13,Marty Quinn
14,Jeylu Gutierrez
15,Raymond Lopez
16,Stephanie Coleman
17,David Moore
18,Derrick Curtis
19,Matthew O'Shea
20,Jeanette Taylor
21,Ronnie Mosley
22,Michael Rodriguez
23,Silvana Tabares
24,Monique Scott
25,Byron Sigcho-Lopez
26,Jessie Fuentes
27,Walter Burnett
28,Jason Ervin
29,Chris Taliaferro
30,Ruth Cruz
31,Felix Cardona
32,Scott Waguespack
33,Rossana Rodriguez-Sanchez
34,Bill Conway
35,Carlos Ramirez-Rosa
36,Gilbert Villegas
37,Emma Mitts
38,Nicholas Sposato
39,Samantha Nugent
40,Andre Vasquez
41,Anthony Napolitano
42,Brendan Reilly
43,Timmy Knudsen
44,Bennett Lawson
45,Jim Gardiner
46,Angela Clay
47,Matt Martin
48,Leni Manaa-Hoppenworth
49,Maria Hadden
50,Debra Silverstein
